Code,Title,Is Replaced By,Removed In
PM_20_50_33,Fire engineer,Ro_50_20_33 Fire engineer,2019-01
PM_20_50_41,Highways engineer,Ro_50_20_41 Highways engineer,2019-01
PM_20_50_43,Interior designer,Ro_50_10_43 Interior designer,2019-01
PM_20_50_47,Landscape architect,Ro_50_30_47 Landscape architect,2019-01
PM_20_50_48,Landscape designer,Ro_50_30_48 Landscape designer,2019-01
PM_20_50_50,Lighting designer,Ro_50_10_50 Lighting designer,2019-01
PM_20_50_53,"Mechanical, electrical, instrumentation, control and automation (MEICA) consultant","Ro_50_20_53 Mechanical, electrical, instrumentation, control and automation (MEICA) engineer",2019-01
PM_20_50_54,Mechanical services engineer,Ro_50_20_54 Mechanical services engineer,2019-01
PM_20_50_69,Process engineer,Ro_50_20_65 Process engineer,2019-01
PM_20_50_73,Public health engineer,Ro_50_20_68 Public health engineer,2019-01
PM_20_50_76,Rail engineer,Ro_50_20_70 Rail engineer,2019-01
PM_20_50_77,Road engineer,Ro_50_20_41 Highways engineer,2019-01
PM_20_50_80,Signage designer,Ro_50_10_80 Signage designer,2019-01
PM_20_50_83,Structural engineer,Ro_50_20_83 Structural engineer,2019-01
PM_20_50_90,Telecommunication engineer,Ro_50_20_88 Telecommunication engineer,2019-01
PM_20_50_96,Water services engineer,Ro_50_20_96 Water services engineer,2019-01
PM_20_70,Surveyor and planner roles,Ro_70_10 Surveyor and planner roles,2019-01
PM_20_70_10,Building inspector,Ro_70_10_10 Building inspector,2019-01
PM_20_70_11,Building surveyor,Ro_70_10_11 Building surveyor,2019-01
PM_20_70_16,Conservation surveyor,Ro_70_10_16 Conservation surveyor,2019-01
PM_20_70_26,Environmental surveyor,Ro_70_30_28 Environmental consultant,2019-01
PM_20_70_36,Heritage surveyor,Ro_70_10_36 Heritage surveyor,2019-01
PM_20_70_37,Geotechnical surveyor,Ro_70_10_33 Geotechnical surveyor,2019-01
PM_20_70_46,Land surveyor,Ro_70_10_46 Land surveyor,2019-01
PM_20_70_64,Planning consultant,Ro_70_10_64 Planning consultant,2019-01
PM_20_70_75,Quantity surveyor,Ro_70_10_75 Quantity surveyor,2019-01
PM_20_70_80,Site investigation consultant,Ro_70_10_80 Site investigation consultant,2019-01
PM_20_70_85,Survey specialist,Ro_70_10 Surveyor and planner roles,2019-01
PM_20_70_93,Utilities surveyor,Ro_70_10_93 Utilities surveyor,2019-01
PM_20_80,Environmental and geological roles,Ro_70_30 Environmental and geological roles,2019-01
PM_20_80_04,Archaeologist,Ro_70_30_04 Archaeologist,2019-01
PM_20_80_25,Ecologist,Ro_50_30_25 Ecologist,2019-01
PM_20_80_27,Environmental assessor,Ro_70_30_27 Environmental assessor,2019-01
PM_20_80_28,Environmental consultant,Ro_70_30_28 Environmental consultant,2019-01
PM_20_80_35,Geographic information system consultant,Ro_70_30_35 Geographic information system consultant,2019-01
PM_20_80_37,Geotechnical surveyor,Ro_70_10_33 Geotechnical surveyor,2019-01
PM_20_80_85,Sustainability consultant,Ro_70_30_85 Sustainability consultant,2019-01
PM_30_30_45,Landscape model,PM_40_35_45 Landscape models,2020-04
PM_30_30_78,Site waste management plan,PM_30_30_58 Operational waste management plan,2020-04
PM_35_10_65,Project context requirements,PM_35_05 Project context requirements,2021-01
PM_35_40_03,Airtightness performance requirements,PM_35_70_03 Airtightness performance requirements,2021-01
PM_35_40_15,Condensation control performance requirements,PM_35_10_15 Condensation control performance requirements,2021-01
PM_35_40_31,Fauna biosecurity performance requirements,PM_35_50_08 Biosecurity performance requirements,2021-01
PM_35_40_33,Flora biosecurity performance requirements,PM_35_50_08 Biosecurity performance requirements,2021-01
PM_35_40_37,Human biosecurity performance requirements,PM_35_50_08 Biosecurity performance requirements,2021-01
PM_35_40_47,Lightning protection performance requirements,PM_35_50_47 Lightning protection performance requirements,2021-01
PM_35_40_96,Watertightness performance requirements,PM_35_10_96 Watertightness performance requirements,2021-01
PM_40_20,Performance requirements,PM_35 Project performance requirements,2019-04
PM_40_20_01,Accessibility performance requirements,PM_35_50_01 Accessibility performance requirements,2019-04
PM_40_20_03,Accidental load performance requirements,PM_35_20_03 Accidental loading performance requirements,2019-04
PM_40_20_05,Acoustic performance requirements,PM_35_60 Acoustic performance requirements,2019-04
