Code,Group,Sub group,Section,Object,Sub object,Title,NBS Code,COBie,NRM1,IFC 2x3 TC1,IFC 4Add2 TC1,IFC 4x3Add2 TC1,CESMM
EF_30_60_60,30,60,60,,,Pedestrian pavements,,EF_30_60_60 : Pedestrian pavements,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_30_60_95,30,60,95,,,Vehicular pavements,,EF_30_60_95 : Vehicular pavements,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_35,35,,,,,Stairs and ramps,,EF_35 : Stairs and ramps,,,,,
EF_35_10,35,10,,,,Stairs,,EF_35_10 : Stairs,,,,,
EF_35_10_30,35,10,30,,,External stairs,,EF_35_10_30 : External stairs,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_35_10_40,35,10,40,,,Internal stairs,,EF_35_10_40 : Internal stairs,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_35_20,35,20,,,,Ramps,,EF_35_20 : Ramps,,,,,
EF_35_20_30,35,20,30,,,External ramps,,EF_35_20_30 : External ramps,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_35_20_40,35,20,40,,,Internal ramps,,EF_35_20_40 : Internal ramps,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_37,37,,,,,"Tunnel, vessel and tower elements",,"EF_37 : Tunnel, vessel and tower elements",,,,,
EF_37_16,37,16,,,,Vessels and trenches,,EF_37_16 : Vessels and trenches,,,,,
EF_37_16_90,37,16,90,,,Trenches,,EF_37_16_90 : Trenches,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_37_16_94,37,16,94,,,Vessels,,EF_37_16_94 : Vessels,,,IfcBuildingSystemType.USERDEFINED,IfcBuildingSystemType.USERDEFINED,
EF_37_17,37,17,,,,"Towers, chimneys and masts",,"EF_37_17 : Towers, chimneys and masts",,,,,
EF_37_17_15,37,17,15,,,Chimneys,,EF_37_17_15 : Chimneys,,,,,
EF_37_17_35,37,17,35,,,Gantries,,EF_37_17_35 : Gantries,,,,,
EF_37_17_50,37,17,50,,,Masts,,EF_37_17_50 : Masts,,,,,
EF_37_17_70,37,17,70,,,Pylons,,EF_37_17_70 : Pylons,,,,,
EF_37_17_90,37,17,90,,,Towers,,EF_37_17_90 : Towers,,,,,
EF_37_50,37,50,,,,Tunnels and shafts,,EF_37_50 : Tunnels and shafts,,,,,
EF_37_50_07,37,50,07,,,Bored tunnels,,EF_37_50_07 : Bored tunnels,,,,,
EF_37_50_20,37,50,20,,,Cut-and-cover tunnels,,EF_37_50_20 : Cut-and-cover tunnels,,,,,
EF_37_50_42,37,50,42,,,Immersed tube tunnels,,EF_37_50_42 : Immersed tube tunnels,,,,,
EF_40,40,,,,,"Signage, fittings, furnishings and equipment",,"EF_40 : Signage, fittings, furnishings and equipment",,,,,
EF_40_10,40,10,,,,Signage,,EF_40_10 : Signage,,,,,
EF_40_20,40,20,,,,Fittings,,EF_40_20 : Fittings,,,,,
EF_40_25,40,25,,,,Cultural elements,,EF_40_25 : Cultural elements,,,,,
EF_40_25_05,40,25,05,,,Artworks,,EF_40_25_05 : Artworks,,,,,
EF_40_30,40,30,,,,Furnishings,,EF_40_30 : Furnishings,,,,,
EF_40_40,40,40,,,,Equipment,,EF_40_40 : Equipment,,,,,
EF_45,45,,,,,Flora and fauna elements,,EF_45 : Flora and fauna elements,,,,,
EF_45_03,45,03,,,,Aquatic fauna elements,,EF_45_03 : Aquatic fauna elements,,,,,
EF_45_05,45,05,,,,Aquatic flora elements,,EF_45_05 : Aquatic flora elements,,,,,
EF_45_20,45,20,,,,Grass and meadow elements,,EF_45_20 : Grass and meadow elements,,,,,
EF_45_45,45,45,,,,Land fauna elements,,EF_45_45 : Land fauna elements,,,,,
EF_45_90,45,90,,,,"Tree, shrub and herbaceous plant elements",,"EF_45_90 : Tree, shrub and herbaceous plant elements",,,,,
EF_50,50,,,,,Waste disposal functions,,EF_50 : Waste disposal functions,,,,,
EF_50_10,50,10,,,,Gas waste collection,,EF_50_10 : Gas waste collection,,,,,
EF_50_20,50,20,,,,Wet waste collection,,EF_50_20 : Wet waste collection,,,,,
EF_50_30,50,30,,,,Above-ground drainage collection,,EF_50_30 : Above-ground drainage collection,,,,,
EF_50_30_34,50,30,34,,,Gravity above-ground drainage,,EF_50_30_34 : Gravity above-ground drainage,,,,,
EF_50_30_52,50,30,52,,,Mechanical above-ground drainage,,EF_50_30_52 : Mechanical above-ground drainage,,,,,
EF_50_35,50,35,,,,Below-ground drainage collection,,EF_50_35 : Below-ground drainage collection,,,,,
EF_50_35_34,50,35,34,,,Gravity below-ground drainage,,EF_50_35_34 : Gravity below-ground drainage,,,,,
EF_50_35_52,50,35,52,,,Mechanical below-ground drainage,,EF_50_35_52 : Mechanical below-ground drainage,,,,,
EF_50_40,50,40,,,,Dry waste collection,,EF_50_40 : Dry waste collection,,,,,
EF_50_50,50,50,,,,Gas waste treatment and disposal,,EF_50_50 : Gas waste treatment and disposal,,,,,
EF_50_60,50,60,,,,Wet waste treatment and disposal,,EF_50_60 : Wet waste treatment and disposal,,,,,
EF_50_70,50,70,,,,Drainage treatment and disposal,,EF_50_70 : Drainage treatment and disposal,,,,,
EF_50_75,50,75,,,,Wastewater treatment and disposal,,EF_50_75 : Wastewater treatment and disposal,,,,,
EF_50_75_42,50,75,42,,,Wastewater treatment inlet works,,EF_50_75_42 : Wastewater treatment inlet works,,,IfcDistributionSystemType.WASTEWATER,IfcDistributionSystemType.WASTEWATER,
EF_50_75_62,50,75,62,,,Preliminary wastewater treatment,,EF_50_75_62 : Preliminary wastewater treatment,,,IfcDistributionSystemType.WASTEWATER,IfcDistributionSystemType.WASTEWATER,
